电信频道,#genre#
CCTV-1HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-2HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-3HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-4HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-5HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?CONTENTID=00000110240246_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-6HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?CONTENTID=00000110240247_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-7HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?CONTENTID=00000110240248_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-8HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240262_1/encoder/0/playlist.m3u8?CONTENTID=00000110240262_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-9HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240478_1/encoder/0/playlist.m3u8?CONTENTID=00000110240478_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
CCTV-10HD,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?CONTENTID=00000110240251_1&AUTHINFO=FABqh274XDn8fkurD5614hH0SEvVfkQNu63poXmABg13dCBn%2BmRMPWd6P9CcI97Q1Wgj%2BzcLbnAt9xErzOISMdbGOAqhthgN6KfN0XEEX7F2XvuIsCcrjKYkd1Oj9TtvOHBFERs1wTPLiUoLaEcu5SDgl4twV9dbKwa5QCQQGok%3D&USERTOKEN=6efsGFsy8%2Fu7z1i4zpgoeOB0O2BhR0KR
