移动频道,#genre#
CCTV-1HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000018602&livemode=1&channel-id=ystenlive
CCTV-2HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000023315&livemode=1&channel-id=ystenlive
CCTV-3HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000013682&livemode=1&channel-id=ystenlive
CCTV-4HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000031664&livemode=1&channel-id=ystenlive
CCTV-5HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000003000030177&livemode=1&channel-id=ystenlive
CCTV-6HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000001737&livemode=1&channel-id=ystenlive
CCTV-7HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000024341&livemode=1&channel-id=ystenlive
CCTV-8HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000031433&livemode=1&channel-id=ystenlive
CCTV-9HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000014583&livemode=1&channel-id=ystenlive
CCTV-10HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000023734&livemode=1&channel-id=ystenlive
CCTV-11HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000019789&livemode=1&channel-id=ystenlive
CCTV-12HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000032494&livemode=1&channel-id=ystenlive
CCTV-13HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000021303&livemode=1&channel-id=ystenlive
CCTV-14HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000008170&livemode=1&channel-id=ystenlive
CCTV-15HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000008163&livemode=1&channel-id=ystenlive
CCTV-16HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000018504&livemode=1&channel-id=ystenlive
动作电影HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000004000018653&livemode=1&channel-id=ystenlive
家庭剧场HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000004000008284&livemode=1&channel-id=ystenlive
